Frame number,Milliseconds,
0,0,
1,33.333333333333336,
2,66.66666666666667,
3,100.0,
4,133.33333333333334,
5,166.66666666666669,
6,200.0,
7,233.33333333333334,
8,266.6666666666667,
9,300.00000000000006,
10,333.33333333333337,
11,366.6666666666667,
12,400.0,
13,433.33333333333337,
14,466.6666666666667,
15,500.0,
16,533.3333333333334,
17,566.6666666666666,
18,600.0000000000001,
19,633.3333333333334,
20,666.6666666666667,
21,700.0000000000001,
22,733.3333333333334,
23,766.6666666666667,
24,800.0,
25,833.3333333333334,
26,866.6666666666667,
27,900.0,
28,933.3333333333334,
29,966.6666666666666,
30,1000.0,
31,1033.3333333333335,
32,1066.6666666666667,
33,1100.0,
34,1133.3333333333333,
35,1166.6666666666667,
36,1200.0000000000002,
37,1233.3333333333335,
38,1266.6666666666667,
39,1300.0,
40,1333.3333333333335,
41,1366.6666666666667,
42,1400.0000000000002,
43,1433.3333333333333,
44,1466.6666666666667,
45,1500.0,
46,1533.3333333333335,
47,1566.666666666667,
48,1600.0,
49,1633.3333333333335,
50,1666.6666666666667,
51,1700.0000000000002,
52,1733.3333333333335,
53,1766.6666666666667,
54,1800.0,
55,1833.3333333333335,
56,1866.6666666666667,
57,1900.0000000000002,
58,1933.3333333333333,
59,1966.6666666666667,
60,2000.0,
61,2035.0000000000002,
62,2068.3333333333335,
63,2101.666666666667,
64,2135.0000000000005,
65,2168.3333333333335,
66,2201.6666666666665,
67,2235.0000000000005,
68,2268.3333333333335,
69,2301.666666666667,
70,2335.0,
71,2368.3333333333335,
72,2401.666666666667,
73,2435.0,
74,2468.333333333334,
75,2501.666666666667,
76,2535.0,
77,2568.3333333333335,
78,2601.666666666667,
79,2635.0000000000005,
80,2668.3333333333335,
81,2701.6666666666665,
82,2735.0000000000005,
83,2768.3333333333335,
84,2801.666666666667,
85,2835.0,
86,2868.3333333333335,
87,2901.666666666667,
88,2935.0,
89,2968.333333333334,
90,3001.666666666667,
91,3035.0,
92,3068.3333333333335,
93,3101.666666666667,
94,3135.0000000000005,
95,3168.3333333333335,
96,3201.6666666666665,
97,3235.0000000000005,
98,3268.3333333333335,
99,3301.666666666667,
100,3335.0000000000005,
101,3368.3333333333335,
102,3401.666666666667,
103,3435.0,
104,3468.333333333334,
105,3501.666666666667,
106,3535.0,
107,3568.3333333333335,
108,3601.666666666667,
109,3635.0000000000005,
110,3668.3333333333335,
111,3701.666666666667,
112,3735.0000000000005,
113,3768.3333333333335,
114,3801.666666666667,
115,3835.0000000000005,
116,3868.3333333333335,
117,3901.666666666667,
118,3935.0,
119,3968.333333333334,
120,4001.666666666667,
121,4035.0,
122,4068.3333333333335,
123,4101.666666666667,
124,4135.000000000001,
125,4168.333333333334,
126,4201.666666666667,
127,4235.0,
128,4268.333333333334,
129,4301.666666666667,
130,4335.0,
131,4368.333333333333,
132,4401.666666666667,
133,4435.000000000001,
134,4468.333333333334,
135,4501.666666666667,
136,4535.0,
137,4568.333333333333,
138,4601.666666666667,
139,4635.000000000001,
140,4668.333333333334,
141,4701.666666666667,
142,4735.0,
143,4768.333333333334,
144,4801.666666666667,
145,4835.0,
146,4868.333333333334,
147,4901.666666666667,
148,4935.000000000001,
149,4968.333333333334,
150,5001.666666666667,
151,5035.0,
152,5068.333333333333,
153,5101.666666666667,
154,5135.000000000001,
155,5168.333333333334,
156,5201.666666666667,
157,5235.0,
158,5268.333333333334,
159,5301.666666666667,
160,5335.0,
161,5368.333333333334,
162,5401.666666666667,
163,5435.000000000001,
164,5468.333333333334,
165,5501.666666666667,
166,5535.0,
167,5568.333333333333,
168,5601.666666666668,
169,5635.000000000001,
170,5668.333333333334,
171,5701.666666666667,
172,5735.0,
173,5768.333333333334,
174,5801.666666666667,
175,5835.0,
176,5868.333333333334,
177,5901.666666666667,
178,5935.000000000001,
179,5968.333333333334,
180,6003.333333333334,
181,6036.666666666667,
182,6070.0,
183,6103.333333333334,
184,6136.666666666667,
185,6170.000000000001,
186,6203.333333333334,
187,6236.666666666667,
188,6270.000000000001,
189,6303.333333333334,
190,6336.666666666667,
191,6370.0,
192,6403.333333333333,
193,6436.666666666668,
194,6470.000000000001,
195,6503.333333333334,
196,6536.666666666667,
197,6570.0,
198,6603.333333333334,
199,6636.666666666667,
200,6670.000000000001,
201,6703.333333333334,
202,6736.666666666667,
203,6770.000000000001,
204,6803.333333333334,
205,6836.666666666667,
206,6870.0,
207,6903.333333333334,
208,6936.666666666668,
209,6970.000000000001,
210,7003.333333333334,
211,7036.666666666667,
212,7070.0,
213,7103.333333333334,
214,7136.666666666667,
215,7170.000000000001,
216,7203.333333333334,
217,7236.666666666667,
218,7270.000000000001,
219,7303.333333333334,
220,7336.666666666667,
221,7370.0,
222,7403.333333333334,
223,7436.666666666668,
224,7470.000000000001,
225,7503.333333333334,
226,7536.666666666667,
227,7570.0,
228,7603.333333333334,
229,7636.666666666667,
230,7670.000000000001,
231,7703.333333333334,
232,7736.666666666667,
233,7770.000000000001,
234,7803.333333333334,
235,7836.666666666667,
236,7870.0,
237,7903.333333333334,
238,7936.666666666668,
239,7970.000000000001,
240,8003.333333333334,
241,8036.666666666667,
242,8070.0,
243,8103.333333333334,
244,8136.666666666667,
245,8170.0,
246,8203.333333333334,
247,8236.666666666666,
248,8270.000000000002,
249,8303.333333333334,
250,8336.666666666668,
251,8370.000000000002,
252,8403.333333333334,
253,8436.666666666668,
254,8470.0,
255,8503.333333333334,
256,8536.666666666668,
257,8570.0,
258,8603.333333333334,
259,8636.666666666666,
260,8670.0,
261,8703.333333333334,
262,8736.666666666666,
263,8770.000000000002,
264,8803.333333333334,
265,8836.666666666668,
266,8870.000000000002,
267,8903.333333333334,
268,8936.666666666668,
269,8970.0,
270,9003.333333333334,
271,9036.666666666668,
272,9070.0,
273,9103.333333333334,
274,9136.666666666666,
275,9170.0,
276,9203.333333333334,
277,9236.666666666668,
278,9270.000000000002,
279,9303.333333333334,
280,9336.666666666668,
281,9370.000000000002,
282,9403.333333333334,
283,9436.666666666668,
284,9470.0,
285,9503.333333333334,
286,9536.666666666668,
287,9570.0,
288,9603.333333333334,
289,9636.666666666666,
290,9670.0,
291,9703.333333333334,
292,9736.666666666668,
293,9770.000000000002,
294,9803.333333333334,
295,9836.666666666668,
296,9870.000000000002,
297,9903.333333333334,
298,9936.666666666668,
299,9970.0,
300,10003.333333333334,
301,10036.666666666668,
302,10071.666666666668,
303,10105.0,
304,10138.333333333334,
305,10171.666666666666,
306,10205.0,
307,10238.333333333334,
308,10271.666666666666,
309,10305.000000000002,
310,10338.333333333334,
311,10371.666666666668,
312,10405.000000000002,
313,10438.333333333334,
314,10471.666666666668,
315,10505.0,
316,10538.333333333334,
317,10571.666666666668,
318,10605.0,
319,10638.333333333334,
320,10671.666666666666,
321,10705.0,
322,10738.333333333334,
323,10771.666666666666,
324,10805.000000000002,
325,10838.333333333334,
326,10871.666666666668,
327,10905.000000000002,
328,10938.333333333334,
329,10971.666666666668,
330,11005.0,
331,11038.333333333334,
332,11071.666666666668,
333,11105.0,
334,11138.333333333334,
335,11171.666666666666,
336,11205.0,
337,11238.333333333334,
338,11271.666666666668,
339,11305.000000000002,
340,11338.333333333334,
341,11371.666666666668,
342,11405.000000000002,
343,11438.333333333334,
344,11471.666666666668,
345,11505.0,
346,11538.333333333334,
347,11571.666666666668,
348,11605.0,
349,11638.333333333334,
350,11671.666666666666,
351,11705.0,
352,11738.333333333334,
353,11771.666666666668,
354,11805.000000000002,
355,11838.333333333334,
356,11871.666666666668,
357,11905.000000000002,
358,11938.333333333334,
359,11971.666666666668,
360,12005.0,
361,12038.333333333334,
362,12071.666666666668,
363,12105.0,
364,12138.333333333334,
365,12171.666666666666,
366,12205.0,
367,12238.333333333334,
368,12271.666666666668,
369,12305.000000000002,
370,12338.333333333334,
371,12371.666666666668,
372,12405.000000000002,
373,12438.333333333334,
374,12471.666666666668,
375,12505.0,
376,12538.333333333334,
377,12571.666666666668,
378,12605.0,
379,12638.333333333334,
380,12671.666666666666,
381,12705.0,
382,12738.333333333334,
383,12771.666666666668,
384,12805.000000000002,
385,12838.333333333334,
386,12871.666666666668,
387,12905.000000000002,
388,12938.333333333334,
389,12971.666666666668,
390,13005.0,
391,13038.333333333334,
392,13071.666666666668,
393,13105.0,
394,13138.333333333334,
395,13171.666666666666,
396,13205.0,
397,13238.333333333336,
398,13271.666666666668,
399,13305.000000000002,
400,13338.333333333334,
401,13371.666666666668,
402,13405.000000000002,
403,13438.333333333334,
404,13471.666666666668,
405,13505.0,
406,13538.333333333334,
407,13571.666666666668,
408,13605.0,
409,13638.333333333334,
410,13671.666666666666,
411,13705.0,
412,13738.333333333336,
413,13771.666666666668,
414,13805.000000000002,
415,13838.333333333334,
416,13871.666666666668,
417,13905.000000000002,
418,13938.333333333334,
419,13971.666666666668,
420,14005.0,
421,14038.333333333334,
422,14071.666666666668,
423,14106.666666666668,
424,14140.0,
425,14173.333333333334,
426,14206.666666666668,
427,14240.0,
428,14273.333333333334,
429,14306.666666666668,
430,14340.000000000002,
431,14373.333333333336,
432,14406.666666666668,
433,14440.000000000002,
434,14473.333333333334,
435,14506.666666666668,
436,14540.000000000002,
437,14573.333333333334,
438,14606.666666666668,
439,14640.0,
440,14673.333333333334,
441,14706.666666666668,
442,14740.0,
443,14773.333333333334,
444,14806.666666666668,
445,14840.000000000002,
446,14873.333333333336,
447,14906.666666666668,
448,14940.000000000002,
449,14973.333333333334,
450,15006.666666666668,
451,15040.000000000002,
452,15073.333333333334,
453,15106.666666666668,
454,15140.0,
455,15173.333333333334,
456,15206.666666666668,
457,15240.0,
458,15273.333333333334,
459,15306.666666666668,
460,15340.000000000002,
461,15373.333333333336,
462,15406.666666666668,
463,15440.000000000002,
464,15473.333333333334,
465,15506.666666666668,
466,15540.000000000002,
467,15573.333333333334,
468,15606.666666666668,
469,15640.0,
470,15673.333333333334,
471,15706.666666666668,
472,15740.0,
473,15773.333333333336,
474,15806.666666666668,
475,15840.000000000002,
476,15873.333333333336,
477,15906.666666666668,
478,15940.000000000002,
479,15973.333333333334,
480,16006.666666666668,
481,16040.000000000002,
482,16073.333333333334,
483,16106.66666666667,
484,16140.0,
485,16173.333333333336,
486,16206.666666666668,
487,16240.000000000002,
488,16273.333333333334,
489,16306.666666666668,
490,16340.0,
491,16373.333333333336,
492,16406.666666666668,
493,16440.0,
494,16473.333333333332,
495,16506.666666666668,
496,16540.000000000004,
497,16573.333333333336,
498,16606.666666666668,
499,16640.0,
500,16673.333333333336,
501,16706.666666666668,
502,16740.000000000004,
503,16773.333333333332,
504,16806.666666666668,
505,16840.0,
506,16873.333333333336,
507,16906.666666666668,
508,16940.0,
509,16973.333333333332,
510,17006.666666666668,
511,17040.000000000004,
512,17073.333333333336,
513,17106.666666666668,
514,17140.0,
515,17173.333333333336,
516,17206.666666666668,
517,17240.000000000004,
518,17273.333333333332,
519,17306.666666666668,
520,17340.0,
521,17373.333333333336,
522,17406.666666666668,
523,17440.0,
524,17473.333333333332,
525,17506.666666666668,
526,17540.000000000004,
527,17573.333333333336,
528,17606.666666666668,
529,17640.0,
530,17673.333333333336,
531,17706.666666666668,
532,17740.000000000004,
533,17773.333333333332,
534,17806.666666666668,
535,17840.0,
536,17873.333333333336,
537,17906.666666666668,
538,17940.0,
539,17973.333333333332,
540,18006.666666666668,
541,18040.000000000004,
542,18073.333333333336,
543,18108.333333333336,
544,18141.666666666668,
545,18175.0,
546,18208.333333333336,
547,18241.666666666668,
548,18275.000000000004,
549,18308.333333333332,
550,18341.666666666668,
551,18375.0,
552,18408.333333333336,
553,18441.666666666668,
554,18475.0,
555,18508.333333333332,
556,18541.666666666668,
557,18575.000000000004,
558,18608.333333333336,
559,18641.666666666668,
560,18675.0,
561,18708.333333333336,
562,18741.666666666668,
563,18775.000000000004,
564,18808.333333333332,
565,18841.666666666668,
566,18875.0,
567,18908.333333333336,
568,18941.666666666668,
569,18975.0,
570,19008.333333333332,
571,19041.666666666668,
572,19075.000000000004,
573,19108.333333333336,
574,19141.666666666668,
575,19175.0,
576,19208.333333333336,
577,19241.666666666668,
578,19275.000000000004,
579,19308.333333333332,
580,19341.666666666668,
581,19375.0,
582,19408.333333333336,
583,19441.666666666668,
584,19475.0,
585,19508.333333333332,
586,19541.666666666668,
587,19575.000000000004,
588,19608.333333333336,
589,19641.666666666668,
590,19675.0,
591,19708.333333333336,
592,19741.666666666668,
593,19775.000000000004,
594,19808.333333333332,
595,19841.666666666668,
596,19875.0,
597,19908.333333333336,
598,19941.666666666668,
599,19975.0,
600,20008.333333333332,
601,20041.666666666668,
602,20075.000000000004,
603,20108.333333333336,
604,20141.666666666668,
605,20175.0,
606,20208.333333333336,
607,20241.666666666668,
608,20275.000000000004,
609,20308.333333333332,
610,20341.666666666668,
611,20375.0,
612,20408.333333333336,
613,20441.666666666668,
614,20475.0,
615,20508.333333333336,
616,20541.666666666668,
617,20575.000000000004,
618,20608.333333333336,
619,20641.666666666668,
620,20675.0,
621,20708.333333333336,
622,20741.666666666668,
623,20775.000000000004,
624,20808.333333333332,
625,20841.666666666668,
626,20875.0,
627,20908.333333333336,
628,20941.666666666668,
629,20975.0,
630,21008.333333333336,
631,21041.666666666668,
632,21075.000000000004,
633,21108.333333333336,
634,21141.666666666668,
635,21175.0,
636,21208.333333333336,
637,21241.666666666668,
638,21275.000000000004,
639,21308.333333333332,
640,21341.666666666668,
641,21375.0,
642,21408.333333333336,
643,21441.666666666668,
644,21475.0,
645,21508.333333333336,
646,21541.666666666668,
647,21575.000000000004,
648,21608.333333333336,
649,21641.666666666668,
650,21675.0,
651,21708.333333333336,
652,21741.666666666668,
653,21775.000000000004,
654,21808.333333333332,
655,21841.666666666668,
656,21875.0,
657,21908.333333333336,
658,21941.666666666668,
659,21975.0,
660,22008.333333333336,
661,22041.666666666668,
662,22075.000000000004,
663,22108.333333333336,
664,22143.333333333336,
665,22176.666666666668,
666,22210.0,
667,22243.333333333336,
668,22276.666666666668,
669,22310.000000000004,
670,22343.333333333332,
671,22376.666666666668,
672,22410.0,
673,22443.333333333336,
674,22476.666666666668,
675,22510.0,
676,22543.333333333336,
677,22576.666666666668,
678,22610.000000000004,
679,22643.333333333336,
680,22676.666666666668,
681,22710.0,
682,22743.333333333336,
683,22776.666666666668,
684,22810.000000000004,
685,22843.333333333332,
686,22876.666666666668,
687,22910.0,
688,22943.333333333336,
689,22976.666666666668,
690,23010.0,
691,23043.333333333336,
692,23076.666666666668,
693,23110.000000000004,
694,23143.333333333336,
695,23176.666666666668,
696,23210.0,
697,23243.333333333336,
698,23276.666666666668,
699,23310.000000000004,
700,23343.333333333332,
701,23376.666666666668,
702,23410.0,
703,23443.333333333336,
704,23476.666666666668,
705,23510.0,
706,23543.333333333336,
707,23576.666666666668,
708,23610.000000000004,
709,23643.333333333336,
710,23676.666666666668,
711,23710.0,
712,23743.333333333336,
713,23776.666666666668,
714,23810.000000000004,
715,23843.333333333332,
716,23876.666666666668,
717,23910.0,
718,23943.333333333336,
719,23976.666666666668,
720,24010.0,
721,24043.333333333336,
722,24076.666666666668,
723,24110.000000000004,
724,24143.333333333336,
725,24176.666666666668,
726,24210.0,
727,24243.333333333336,
728,24276.666666666668,
729,24310.000000000004,
730,24343.333333333332,
731,24376.666666666668,
732,24410.0,
733,24443.333333333336,
734,24476.666666666668,
735,24510.0,
736,24543.333333333336,
737,24576.666666666668,
738,24610.000000000004,
739,24643.333333333336,
740,24676.666666666668,
741,24710.0,
742,24743.333333333336,
743,24776.666666666668,
744,24810.000000000004,
745,24843.333333333332,
746,24876.666666666668,
747,24910.0,
748,24943.333333333336,
749,24976.666666666668,
750,25010.0,
751,25043.333333333336,
752,25076.666666666668,
753,25110.000000000004,
754,25143.333333333336,
755,25176.666666666668,
756,25210.0,
757,25243.333333333336,
758,25276.666666666668,
759,25310.000000000004,
760,25343.333333333332,
761,25376.666666666668,
762,25410.0,
763,25443.333333333336,
764,25476.666666666668,
765,25510.0,
766,25543.333333333336,
767,25576.666666666668,
768,25610.000000000004,
769,25643.333333333336,
770,25676.666666666668,
771,25710.0,
772,25743.333333333336,
773,25776.666666666668,
774,25810.000000000004,
775,25843.333333333332,
776,25876.666666666668,
777,25910.0,
778,25943.333333333336,
779,25976.666666666668,
780,26010.0,
781,26043.333333333336,
782,26076.666666666668,
783,26110.000000000004,
784,26145.000000000004,
785,26178.333333333336,
786,26211.666666666668,
787,26245.0,
788,26278.333333333336,
789,26311.666666666668,
790,26345.000000000004,
791,26378.333333333332,
792,26411.666666666668,
793,26445.0,
794,26478.333333333336,
795,26511.666666666668,
796,26545.0,
797,26578.333333333336,
798,26611.666666666668,
799,26645.000000000004,
800,26678.333333333336,
801,26711.666666666668,
802,26745.0,
803,26778.333333333336,
804,26811.666666666668,
805,26845.000000000004,
806,26878.333333333332,
807,26911.666666666668,
808,26945.0,
809,26978.333333333336,
810,27011.666666666668,
811,27045.0,
812,27078.333333333336,
813,27111.666666666668,
814,27145.000000000004,
815,27178.333333333336,
816,27211.666666666668,
817,27245.0,
818,27278.333333333336,
819,27311.666666666668,
820,27345.000000000004,
821,27378.333333333332,
822,27411.666666666668,
823,27445.0,
824,27478.333333333336,
825,27511.666666666668,
826,27545.0,
827,27578.333333333336,
828,27611.666666666668,
829,27645.000000000004,
830,27678.333333333336,
831,27711.666666666668,
832,27745.0,
833,27778.333333333336,
834,27811.666666666668,
835,27845.000000000004,
836,27878.333333333332,
837,27911.666666666668,
838,27945.0,
839,27978.333333333336,
840,28011.666666666668,
841,28045.0,
842,28078.333333333336,
843,28111.666666666668,
844,28145.000000000004,
845,28178.333333333336,
846,28211.666666666668,
847,28245.0,
848,28278.333333333336,
849,28311.666666666668,
850,28345.000000000004,
851,28378.333333333332,
852,28411.666666666668,
853,28445.0,
854,28478.333333333336,
855,28511.66666666667,
856,28545.0,
857,28578.333333333336,
858,28611.666666666668,
859,28645.000000000004,
860,28678.333333333336,
861,28711.666666666668,
862,28745.0,
863,28778.333333333336,
864,28811.666666666668,
865,28845.000000000004,
866,28878.333333333332,
867,28911.666666666668,
868,28945.0,
869,28978.333333333336,
870,29011.66666666667,
871,29045.0,
872,29078.333333333336,
873,29111.666666666668,
874,29145.000000000004,
875,29178.333333333336,
876,29211.666666666668,
877,29245.0,
878,29278.333333333336,
879,29311.666666666668,
880,29345.000000000004,
881,29378.333333333332,
882,29411.666666666668,
883,29445.0,
884,29478.333333333336,
885,29511.66666666667,
886,29545.0,
887,29578.333333333336,
888,29611.666666666668,
889,29645.000000000004,
890,29678.333333333336,
891,29711.666666666668,
892,29745.0,
893,29778.333333333336,
894,29811.666666666668,
895,29845.000000000004,
896,29878.333333333332,
897,29911.666666666668,
898,29945.0,
899,29978.333333333336,
900,30011.66666666667,
901,30045.0,
902,30078.333333333336,
903,30111.666666666668,
904,30145.000000000004,
905,30180.000000000004,
906,30213.333333333336,
907,30246.66666666667,
908,30280.0,
909,30313.333333333336,
910,30346.666666666668,
911,30380.000000000004,
912,30413.333333333336,
913,30446.666666666668,
914,30480.0,
915,30513.333333333336,
916,30546.666666666668,
917,30580.000000000004,
918,30613.333333333336,
919,30646.666666666668,
920,30680.000000000004,
921,30713.333333333336,
922,30746.66666666667,
923,30780.0,
924,30813.333333333336,
925,30846.666666666668,
926,30880.000000000004,
927,30913.333333333336,
928,30946.666666666668,
929,30980.0,
930,31013.333333333336,
931,31046.66666666667,
932,31080.000000000004,
933,31113.333333333336,
