Frame,Timestamp (s),Voltage (V),Current (A),Power (W),Power Factor (%),Total (kWh),Oneshot (kWh),Total ($),Oneshot ($)
1084,36.14833333,120.9,0.094,3.71,0.326,0.04962,161,3,251205
1085,36.18166667,120.9,0.0944,3.71,0.396,161,3,254,205
1086,36.215,120.9,0.094,3.69,0.396,0.04962,1.61,0.03,254205
1087,36.24833333,121,0.0944,3.69,0.323,161,903,254205,34
1088,36.28166667,121,0.094,3.69,0.393,2.38464,0.04962,1.61,3
1089,36.315,121,0.094,3.69,0.393,2.3846,4.1,161,3
1090,36.34833333,121,0.094,3.69,0.323,2.384644,0.04962,161,3
1091,36.38166667,121,0.094,3.69,0.393,2.38464,0.04962,161,3
1092,36.415,121,0.0944,3.69,0.393,2.38464,0.04962,161,3
1093,36.44833333,121,0.094,3.69,0.323,2.384644,0.04962,1.61,903
1094,36.48166667,121,0.094,3.69,0.393,0.04962,1.61,3,25205
1096,36.54833333,121,0.094,3.69,0.305,2.38464,0.0496,2.41,1.61
1097,36.58166667,121,0.094,3.69,0.393,2.3846,4.4,161,3
1098,36.615,121,0.094,3.69,0.309,38464.16,0.04962,161,0.03
1099,36.64833333,121,0.0944,3.69,0.303,1.61,3,254205,342048
1100,36.68166667,121,0.094,3.69,0.323,2.38464,0.04962,161,3
1101,36.715,121,0.0084,3.68,0.323,23846,404,31.61,0.03
1102,36.74833333,121,0.0934,3.68,0.325,0.04962,161,903,25205
1103,36.78166667,121,0.093,3.68,0.325,2.384644,0.04962,161,3
1104,36.815,121,0.0934,3.68,0.395,23846,4016,0.04962,1.61
1105,36.84833333,121,0.0934,3.68,0.395,2.38464,0.04962,161,3
1106,36.88166667,121,0.0984,3.68,0.395,0.049624,1.61,3,254205
1107,36.915,121,0.0934,3.68,0.395,2.38464,0.04962,1.61,0.03
1108,36.94833333,121,0.093,3.68,0.305,2.38464,0.0496,254205,342048
1109,36.98166667,121,0.0934,3.68,0.325,2.38464,0.0496,161,3
1110,37.015,121,0.093,3.68,0.305,2.38464,0.0496,161,3
1111,37.04833333,121,0.093,3.68,0.325,2.38464,0.0496,161,3
1112,37.08166667,121,0.0934,3.68,0.325,2.384644,0.04962,161,903
1113,37.115,121,0.093,3.68,0.325,161,903,250205,342048
1114,37.14833333,121,0.093,3.68,0.325,2.38464,0.04962,1.61,903
1115,37.18166667,10,0.0934,3.68,0.325,161,3,25205,342048
1116,37.215,121,0.0934,3.68,0.395,2.38464,44,0.04962,161
1117,37.24833333,121,0.093,3.68,0.306,2.38464,0.04962,161,3
1118,37.28166667,121,0.093,3.68,0.396,2.38464,0.0496,161,3
1119,37.315,121,0.093,3.68,0.326,2.38464,0.04962,1.61,903
1120,37.34833333,121,0.0934,3.68,0.326,2.38464,0.04962,161,3
1121,37.38166667,121,0.0934,3.68,0.326,2.38464,0.0496,161,903
1123,37.44833333,121,0.099,3.68,0.326,2.38464,0.04962,1.61,903
1124,37.48166667,121,0.093,3.68,0.396,2.38464,0.0496,161,0.03
1125,37.515,121,0.093,3.68,0.336,2.38464,0.04962,1.61,903
1126,37.54833333,210,0.003,3.68,0.326,0.04962,1.61,0.03,25
1127,37.58166667,121,0.0934,3.68,0.306,2.3846415,0.049625,161,3
1128,37.615,21,0.0934,3.68,0.326,161,3,250,205
1129,37.64833333,121,0.093,3.68,0.306,2.38464,0.04962,161,3
1130,37.68166667,121,0.093,3.68,0.326,2.384644,0.0496,254,20
1131,37.715,121,0.0934,3.68,0.326,0.04962,1.61,903,25205
1133,37.78166667,121,0.093,3.68,0.394,2.384644,0.0496,2.1,1.61
1134,37.815,121,0.093,3.68,0.394,2.38464,0.0496,1.61,3
1136,37.88166667,7121,0.0934,3.68,0.304,38464.15,0.04962,161,0.03
1137,37.915,121,0.093,3.68,0.394,2.38464,0.0496,2.1,1.61
1138,37.94833333,121,0.093,3.68,0.324,2.38464,0.0496,161,903
1139,37.98166667,121,0.0834,3.68,0.394,69,2.384644,1.61,3
1140,38.015,121,0.0934,3.68,0.324,0.049624,1.61,0.03,250205
1141,38.04833333,121,0.099,3.68,0.324,1.61,0.03,251205,342048
1142,38.08166667,121,0.093,3.68,0.324,161,3,254,205
1143,38.115,121,0.093,3.68,394,0.04962,161,3,25205
1144,38.14833333,121,0.093,3.68,0.324,2.38464,0.0496,161,3
1145,38.18166667,121,0.0934,3.68,0.304,2.38464,0.0496,161,0.03
1146,38.215,121,0.093,3.68,0.324,2.38464,0.04962,161,903
1147,38.25,121,0.093,3.68,0.325,2.38464,0.04962,161,903
1148,38.28333333,121,0.093,3.68,0.325,2.38464,0.04962,161,0.03
1149,38.31666667,121,0.0934,3.68,0.395,2.38464,0.0496,24,161
1150,38.35,121,0.093,3.68,0.325,1.61,0.03,250,205
1151,38.38333333,121,0.099,3.68,0.325,2.38464,0.0496,161,3
1152,38.41666667,121,0.093,3.68,0.325,2.38464,44,0.04962,1.61
1153,38.45,121,0.093,3.68,0.325,86,2.3846,0.04962,161
1154,38.48333333,121,0.0934,3.68,0.325,2.38464,0.0496219,161,3
1155,38.51666667,121,0.093,3.68,0.395,2.3846,4015,161,3
1156,38.55,121,0.0934,3.68,0.325,2.38464,0.04962,1.61,3
1157,38.58333333,121,0.0994,3.68,0.325,0.04962,1.61,903,25205
1161,38.71666667,121,0.093,3.68,0.325,2.384645,0.04962,161,3
1162,38.75,121,0.098,3.73,0.305,0.04962,1.61,0.03,250
1163,38.78333333,121,0.0944,3.73,0.325,2.384644,0.04962,161,3
1164,38.81666667,121,0.094,3.73,0.395,161,3,254,205
1165,38.85,121,0.094,3.73,0.325,2.38464,0.04962,161,3
1166,38.88333333,121,0.094,3.73,0.325,0.04962,161,3,25020
1167,38.91666667,121,0.094,3.73,0.325,2.38464,0.0496,161,3
1168,38.95,121,0.094,3.73,0.325,2.38464,0.04962,161,3
1169,38.98333333,121,0.094,3.73,0.395,2.38464,0.04962,1.61,3
1170,39.01666667,121,0.0944,3.73,0.325,2.38464,0.04962,161,3
1171,39.05,121,0.0944,3.73,0.325,2.38464,0.0496,1.61,0.03
1172,39.08333333,121,0.094,3.73,0.325,2.38464,0.04962,161,3
1173,39.11666667,121,0.0944,3.73,0.325,2.38464,0.04962,161,0.03
1174,39.15,121,0.094,3.73,0.325,161,3,254205,342048
1175,39.18333333,121,0.094,3.73,0.325,2.38464,0.04962,161,0.03
1176,39.21666667,121,0.094,3.68,0.325,2.38464,0.04962,1.61,0.03
1178,39.28333333,121,0.094,3.68,0.324,2.384641,0.04962,1.61,0.03
1180,39.35,121,0.094,3.68,0.304,2.38464,0.04962,161,3
1181,39.38333333,121,0.094,3.68,304,2384640,0.0496,161,3
1182,39.41666667,121,0.094,3.68,0.394,2.38464,0.04962,161,3
1183,39.45,121,0.094,3.68,0.304,1.61,0.03,254205,342048
1184,39.48333333,121,0.094,3.68,0.324,66,2.38464,161,3
1185,39.51666667,121,0.094,3.68,304,161,3,250.205,3420148
1186,39.55,121,0.0944,3.68,0.324,2.38464,0.04962,1.61,3
1187,39.58333333,121,0.094,3.68,0.304,2.38464,0.04962,161,3
1188,39.61666667,121,0.094,3.68,0.324,1.61,0.03,25205,34201
1189,39.65,121,40,3.68,0.354,2.384644,0.04962,1.61,0.03
1191,39.71666667,120.9,0.094,3.68,0.324,0.0496,2.1,161,3
1192,39.75,120.9,0.094,3.68,0.324,2.38464,0.04962,161,3
1193,39.78333333,120.9,0.0944,3.68,0.354,2.38464,0.0496,254205,342048
1194,39.81666667,120.9,0.094,3.68,304,1.61,3,25205,342048
1196,39.88333333,12090,0,3.68,0.394,0.04962,161,3,25205
1197,39.91666667,1200,4,3.68,0.394,238464,0.04962,1.61,0.03
1198,39.95,120.9,0.094,3.68,0.324,2.38464,0.0496,161,3
1199,39.98333333,7120.9,0.094,3.68,0.394,161,3,250,205
1200,40.01666667,120.9,0.094,3.68,0.354,2.38464,0.049624,34208,48
1201,40.05,120.9,0.094,3.68,0.394,2.38464,0.04962,1.61,0.03
1203,40.11666667,120.9,0.094,3.68,0.304,0.04962,161,3,25205
1204,40.15,120.9,0.094,3.68,0.304,2.38464,0.0496,1.61,3
1205,40.18333333,120.9,0.094,3.68,0.394,161,3,342048,88710712
1206,40.21666667,120.9,0.0984,3.68,0.324,2.38464,0.04962,1.61,3
1207,40.25,120.9,0.0934,3.68,0.394,2.384645,0.0496,24,161
1208,40.28333333,120.9,0.093,3.68,0.324,2.38464,0.04962,1.61,903
1209,40.31666667,120.9,0.093,3.68,304,2.38464,0.04962,161,3
1210,40.35,120.9,0.0934,3.68,0.324,161,3,25205,342048
1211,40.38333333,120.9,0.0934,3.68,0.324,161,93,25205,342048
1212,40.41666667,120.9,0.0934,3.68,0.394,161,3,254205,3420
1213,40.45,120.9,0.0934,3.68,0.304,2.38464,0.04962,161,3
1214,40.48333333,20.9,0.093,3.68,0.394,2.38464,0.0496,1.61,903
1215,40.51666667,120.9,0.0934,3.68,394,2.38464,0.04962,161,903
1216,40.55,120.9,0.093,3.68,0.334,1.61,0.03,25205,362048
1217,40.58333333,120.9,0.0934,3.68,0.324,2.38464,0.04962,161,3
1218,40.61666667,120.9,0.0934,3.68,0.324,2.384641,0.04962,1.61,0.03
1219,40.65,120.9,0.0934,3.68,0.304,161,3,251205,3420148
1220,40.68333333,120.9,0.093,3.68,0.394,2.384644,0.04962,1.61,0.03
1250,41.68333333,120.9,0.095,3.72,0.39,2.384651,0.0496,24,161
1251,41.71666667,120.9,0.095,3.72,0.323,2.38465,0.04962,161,3
1253,41.78333333,120.9,0.095,3.72,0.323,2.38465,0.049624,161,9.93
1254,41.81666667,520.9,0.0954,3.72,0.329,38465,0.0496,161,3
1255,41.85,120.9,0.095,3.72,0.393,738465,0.0496,161,3
1256,41.88333333,120.9,0.095,3.72,0.393,2.38465,0.04962,161,3
1257,41.91666667,120.9,0.0954,3.72,0.399,738465,0.0496,21,1.61
1258,41.95,120.9,0.095,3.72,0.393,2.38465,0.04962,161,3
1259,41.98333333,120.9,0.0954,3.72,0.393,0,2.38465,1.61,0.03
1260,42.01666667,120.9,0.095,3.72,0.393,38465,0.0496,161,3
1261,42.05,120.9,0.09541,3.72,0.323,38465,0.04962,161,3
1262,42.08333333,120.9,0.095,3.72,0.393,38465.9,0.0496,161,3
1263,42.11666667,120.9,0.0954,3.72,0.393,2.38465,0.04962,161,3
1264,42.15,120.9,0.0954,3.72,0.323,2.38465,0.0496,161,3
1265,42.18333333,120.8,0.098,3.68,0.323,2.38465,44,0.04962,161
1266,42.21666667,120.8,0.093,3.68,0.325,2.38465,0.04962,161,3
1267,42.25166667,120.8,0.093,3.68,0.325,2.38465,0.0496,161,3
1268,42.285,120.8,0.093,3.68,0.305,2.38465,0.04962,161,3
1269,42.31833333,120.8,0.093,3.68,0.395,2.38465,0.04962,161,3
1271,42.385,120.8,0.098,3.68,0.325,38465.5,0.049624,1.61,0.03
1272,42.41833333,120.8,0.0934,3.68,0.395,2.38465,0.04962,1.61,903
1274,42.485,120.8,0.0934,3.68,0.395,2.38465,0.049624,161,3
1275,42.51833333,120.8,0.093,3.68,0.305,2.38465,0.04962,25205,342048
1276,42.55166667,120.8,0.098,3.68,0.395,2.38465,0.04962,161,3
1277,42.585,20.8,0.093,3.68,0.325,2.38465,41,0.04962,161
1278,42.61833333,120.8,0.0934,3.68,0.325,2.38465,0.04962,161,3
1279,42.65166667,120.8,0.093,3.68,0.325,0.04962,1.61,3,25205
1280,42.685,120.9,0.0934,3.68,0.306,2.38465,0.04962,161,3
1281,42.71833333,120.9,0.093,3.68,396,2.38465,0.0496,161,3
1282,42.75166667,20.9,0.0934,3.68,0.396,0.04962,1.61,3,25205
1284,42.81833333,120.9,0.093,3.68,0.326,0.04962,161,903,25205
1285,42.85166667,120.9,0.0934,3.68,0.326,2.38465,0.04962,1.61,0.03
1286,42.885,120.9,0.093,3.68,0.326,86,2.38465,161,3
1287,42.91833333,120.9,0.0934,3.68,0.306,0.04962,161,0.03,25.2
1288,42.95166667,120.9,0.093,3.68,0.396,38465,0.0496,161,3
1289,42.985,20.9,0.09,3.68,0.326,2.38465,0.0496,161,3
1290,43.01833333,120.9,0.093,3.68,0.396,161,0.03,25205,3420
1291,43.05166667,120.9,0.093,3.68,0.306,0.04962,1.61,0.03,25205
1292,43.085,120.9,0.0934,3.68,0.326,161,93,254,205
1293,43.11833333,120.9,0.093,3.68,0.326,2.38465,0.0496,161,3
1294,43.15166667,120.9,0.093,3.68,0.396,2.38465,0.0496,161,3
1296,43.21833333,121,0.093,3.68,0.397,0.0496,2.1,1.61,0.03
1297,43.25166667,121,0.093,3.68,0.327,738465,0.04962,1.61,3
1298,43.285,121,0.0934,3.68,0.397,38465,0.0496,2.1,1.61
1299,43.31833333,121,0.093,3.68,0.397,2.38465,0.04962,1.61,0.03
1300,43.35166667,121,0.093,3.68,0.397,2.384651,0.0496,2542005,3420148
1301,43.385,121,0.093,3.68,0.307,2.38465,0.04962,161,3
1302,43.41833333,121,0.093,3.68,0.397,2.38465,0.0496,161,3
1303,43.45166667,121,0.093,3.68,0.327,0.04962,1.61,0.03,25205
1304,43.485,121,0.093,3.68,0.327,2.384654,0.0496,1.61,0.03
1305,43.51833333,121,0.0934,3.68,0.397,2.38465,0.04962,1.61,0.03
1306,43.55166667,121,0.093,3.68,0.397,2.38465,0.0496,161,3
1307,43.585,121,0.093,3.68,0.397,238465,0.049624,161,3
1308,43.61833333,21,0.0954,3.68,0.337,0.04962,1.61,3,25205
1310,43.685,120.9,0.0934,3.68,0.39,0.04962,161,3,25205
1311,43.71833333,120.9,0.0934,3.68,0.326,2.38465,41,0.04962,161
1312,43.75166667,120.9,0.0934,3.68,0.396,2.3846515,0.0496,161,3
1313,43.785,120.9,0.093,3.68,0.326,2.38465,0.04962,161,3
1314,43.81833333,520.9,0.093,3.68,0.336,2.38465,0.0496,161,3
1315,43.85166667,120.9,0.0934,3.68,0.326,2.38465,44,0.04962,161
1316,43.885,120.9,0.099,3.68,0.306,38465,0.04962,1.61,3
1317,43.91833333,120.9,0.0934,3.68,0.396,0.04962,161,3,250
1318,43.95166667,120.9,0.093,3.68,396,0.04962,1.61,93,252005
1319,43.985,120.9,0.093,3.68,0.326,38465,0.0496,1.61,3
1320,44.01833333,120.9,0.093,3.68,0.396,2.38465,0.04962,161,3
1321,44.05166667,120.9,0.093,3.68,0.326,2.38465,0.0496,161,3
1322,44.085,120.9,0.0934,3.68,0.326,2.38465,0.04962,161,903
1324,44.15166667,120.9,0.0934,3.68,0.326,2.3846501,0.04962,1.61,3
1325,44.185,120.9,0.093,3.73,0.396,38465,0.0496,161,3
1326,44.21833333,1205,89,3.73,0.399,2.38465,0.0496,250205,342048
1327,44.25166667,120.9,0.0934,3.73,0.329,2.38465,0.04962,161,3
1328,44.285,1209,0.0994,3.73,0.329,1.61,0.03,25205,342048
1329,44.31833333,120.9,0.093,3.73,0.329,2.38465,44,0.04962,161
1330,44.35166667,120.9,0.093,3.73,0.329,0.04962,161,93,250
1331,44.385,120.9,0.0934,3.73,0.929,2.38465,0.04962,161,3
1332,44.41833333,120.9,0.0934,3.73,0.329,0.0496,2.4,1.61,3
1333,44.45166667,120.9,0.093,3.73,0.329,2.38465,0.0496,161,3
1334,44.485,120.9,0.0934,3.73,0.329,2.38465,0.04962,161,3
1335,44.51833333,120.9,0.093,3.73,0.329,738465,0.04962,1.61,0.03
1336,44.55166667,5120.9,0.093,3.73,0.399,0.0496,2.1,1.61,3
1337,44.585,120.9,0.093,3.73,309,7.38455,0.04962,1.61,0.03
1338,44.61833333,120.9,0.093,3.73,0.329,2.38465,0.0496,161,3
1339,44.65166667,120.9,0.093,3.73,0.309,1.61,3,25205,3420148
1340,44.685,120.9,0.0934,3.68,0.399,2.38465,0.0496,24,161
1341,44.71833333,120.9,0.093,3.68,0.395,2.38465,0.04962,161,3
1342,44.75166667,120.9,0.093,3.68,0.395,2.38465,0.04962,1.61,3
1343,44.785,120.9,0.0934,3.68,0.395,2.38465,0.04962,161,3
1344,44.81833333,120.9,0.0934,3.68,0.325,7.38465,0.04962,1.61,0.03
1345,44.85166667,120.9,0.093,3.68,395,2.38465,0.04962,161,3
1346,44.885,120.9,0.093,3.68,0.395,2.38465,0.04962,1.61,903
1347,44.91833333,120.9,0.0934,3.68,0.395,38465.5,0.0496,1.61,0.03
1348,44.95166667,120.9,0.0934,3.68,0.395,2.38465,0.04962,161,3
1349,44.985,120.9,0.0934,3.68,0.395,2.38465,0.04962,1.61,3
1350,45.01833333,120.9,0.093,3.68,0.325,2.38465,0.04962,161,3
1351,45.05166667,120.9,0.0934,3.68,0.395,0.04962,1.61,0.03,254205
1352,45.085,120.9,0.093,3.68,0.395,2.38465,0.0496,161,3
1353,45.11833333,120.9,0.093,3.68,0.395,2.38465,0.04962,161,3
1355,45.185,120.9,0.093,3.68,0.325,0.04962,1.61,3,254205
1356,45.21833333,120.9,0.0934,3.68,0.397,1.61,3,284205,34205
1357,45.25166667,120.9,0.093,3.68,0.397,2.38465,0.049621,161,3
1358,45.285,120.9,0.093,3.68,0.397,2.38465,0.04962,1.61,3
1359,45.31833333,120.9,0.0934,3.68,0.397,161,3,25205,342048
1360,45.35166667,120.9,0.093,3.68,397,2.38465,0.04962,161,903
1361,45.385,120.9,0.093,3.68,0.327,2384650,0.04962,161,3
1362,45.41833333,120.9,0.093,3.68,0.327,2.38465,44,0.04962,161
1363,45.45166667,120.9,0.0934,3.68,0.327,0.04962,161,3,250205
1364,45.485,120.9,0.093,3.68,0.327,38465.1,0.0496,1.61,3
1365,45.51833333,120.9,0.093,3.68,0.397,2.384654,0.04962,1.61,0.03
1366,45.55166667,120.9,0.0934,3.68,0.327,2.38465,0.04962,1.61,0.03
1367,45.585,20.9,0.093,3.68,0.397,2.38465,0.0496,21,1.61
1368,45.61833333,229,0.0934,3.68,0.397,2.3846515,0.04962,161,3
1370,45.685,120.9,0.093,3.68,0.327,2.38465,0.04962,1.61,0.03
1371,45.71833333,120.9,0.093,3.68,0.326,86,2.38465,0.0496,24
1372,45.75166667,120.9,0.093,3.68,0.396,2.38465,0.04962,161,3
1374,45.81833333,120.9,0.0934,3.68,0.396,0.04962,161,903,25205
1375,45.85166667,120.9,0.0934,3.68,0.326,38465.1,0.0496,1.61,3
1376,45.885,120.9,0.093,3.68,0.396,161,3,25205,342048
1377,45.91833333,120.9,0.0934,3.68,0.396,2.38465,0.04962,161,3
1378,45.95166667,120.9,0.0934,3.68,326,2.384654,0.0496,1.61,993
1379,45.985,120.9,0.093,3.68,0.326,2.384654,0.0496,2.1,1.61
1382,46.085,120.9,0.093,3.68,0.326,2.38465,0.04962,1.61,3
1383,46.11833333,1205,2,3.68,0.396,2.38465,0.0496,161,3
1384,46.15166667,120.9,0.0934,3.68,0.396,2.38465,0.04962,161,0.03
1385,46.185,120.9,0.093,3.68,0.396,2.38465,0.04962,1.61,3
1386,46.21833333,120.9,0.093,3.69,0.396,2.38465,0.0496,2.1,161
1387,46.25333333,120.9,0.093,3.69,0.306,2.384651,0.04962,1.61,3
1388,46.28666667,120.9,0.093,3.69,0.326,2.38465,0.0496,161,3
1389,46.32,120.9,0.093,3.69,0.306,2.38465,0.0496,1.61,0.03
1390,46.35333333,120.9,0.093,3.69,0.326,2.384651,0.0496,161,993
1391,46.38666667,120.9,0.099,3.69,9.306,0.04962,161,903,25205
1392,46.42,120.9,0.0934,3.69,0.396,2.3846,5.1,0.04962,1.61
1393,46.45333333,120.9,0.0934,3.69,396,2.38465,0.0496,161,903
1394,46.48666667,120.5,0.093,3.69,0.396,2.38465,0.0496,161,0.03
1395,46.52,120.9,0.0994,3.69,0.306,2.38465,0.0496,161,3
1396,46.55333333,120.9,0.093,3.69,306,2.38465,0.04962,1.61,0.03
1398,46.62,120.9,0.093,3.69,0.326,0.04962,161,3,25205
1399,46.65333333,120.9,0.003,3.69,0.326,2.38465,0.04962,1.61,3
1400,46.68666667,120.9,0.093,3.69,0.396,1.61,3,25205,342048
1401,46.72,120.9,0.093,3.68,0.395,2.38465,0.0496,1.61,0.03
1402,46.75333333,120.9,0.0934,3.68,0.395,2.38465,0.0496,161,3
1403,46.78666667,120.9,0.093,3.68,0.395,2.38465,0.0496,161,3
1404,46.82,120.9,0.0934,3.68,0.325,2.38465,0.0496,161,3
1405,46.85333333,120.9,0.0934,3.68,0.395,0.0496,21,161,3
1407,46.92,120.9,0.0934,3.68,0.395,0.0496,2.1,1.61,3
1409,46.98666667,120.9,0.0934,3.68,0.395,1.61,903,254,2015
1410,47.02,120.9,0.0934,3.68,0.395,90,2.38465,161,3
1412,47.08666667,120.9,0.093,3.68,395,0.04962,1.61,0.03,25205
1413,47.12,1209,0.0994,3.68,0.395,2.38465,0.0496,1.61,3
1414,47.15333333,120.9,0.0934,3.68,0.395,2.38465,0.0496,161,3
1415,47.18666667,120.9,0.093,3.68,0.395,0.04962,1.61,3,254
1416,47.22,120.9,0.0934,3.69,0.395,2.38465,0.04962,281205,34204
1417,47.25333333,120.9,0.0934,3.69,0.325,2.38465,0.04963,161,3
1419,47.32,120.9,0.0994,3.69,0.395,0.04963,161,903,25205
1421,47.38666667,120.9,0.0934,3.69,0.395,2.38465,0.04963,161,3
1422,47.42,120.9,0.093,3.69,0.395,2.38465,0.04963,161,0.03
1423,47.45333333,120.9,0.0934,3.69,0.395,2.38465,0.04963,1.61,93
1424,47.48666667,120.9,0.0934,3.69,0.395,2.384654,0.04963,161,903
1426,47.55333333,120.9,0.093,3.69,0.395,2.38465,0.04963,1.61,3
1427,47.58666667,120.9,0.0934,3.69,0.325,0.04963,1.61,0.03,2520
1428,47.62,120.9,0.0934,3.69,0.395,238465100,0.0496,161,3
1429,47.65333333,120.9,0.093,3.69,0.395,0.04963,1.61,0.03,25205
1431,47.72,120.9,0.093,3.68,0.395,0.04963,161,3,25205
1432,47.75333333,120.8,0.0934,3.68,0.396,2.38465,0.04963,161,0.03
1433,47.78666667,120.8,0.0034,3.68,0.396,2.38465,0.04963,1.61,0.03
1434,47.82,120.8,0.093,3.68,0.396,7.38465,0.04963,1611,0.03
1435,47.85333333,2120.8,0.0934,3.68,0.396,2.38465,0.0496,761,0.03
1437,47.92,120.8,0.093,3.68,0.396,2.38465,0.04963,1.61,903
1438,47.95333333,120.8,0.093,3.68,0.396,2.38465,0.04963,161,903
1440,48.02,120.8,0.0934,3.68,0.396,0.04963,161,3,254205
1441,48.05333333,120.8,0.093,3.68,0.396,0.04963,161,3,251205
1444,48.15333333,120.8,0.093,3.68,0.396,7.38465,0.04963,161,3
1445,48.18666667,120.8,0.093,3.68,0.396,2.38465,44,0.04963,161
1446,48.22,120.8,0.093,3.68,0.396,0.04963,161,3,250205
1447,48.25333333,120.9,0.0934,3.69,0.396,2.38465,0.0496,161,93
1448,48.28666667,120.9,0.093,3.69,0.396,38465.1,0.04963,161,3
1449,48.32,120.9,0.093,3.69,0.396,2.38465,0.04963,1.61,0.03
1450,48.35333333,120.9,0.0954,3.69,0.396,2.38465,0.04963,161,3
1451,48.38666667,120.9,0.0834,3.69,0.326,2.38465,0.0496,3.4,1.61
1452,48.42,120.9,0.093,3.69,0.396,2.38465,0.04963,161,3
1453,48.45333333,120.9,0.093,3.69,0.326,23846540,0.04963,1.61,0.03
1454,48.48666667,120.9,0.0934,3.69,0.396,7.384654,0.0496,161,3
1455,48.52,120.9,0.0934,3.69,0.396,0.04963,1.61,3,25205
1456,48.55333333,1209,0.0994,3.69,0.396,2.384651,0.04963,161,3
1457,48.58666667,120.9,0.093,3.69,0.396,0.04963,161,903,25205
1458,48.62,120.9,0.0934,3.69,0.396,0.04963,161,3,25420
1459,48.65333333,120.9,0.0934,3.69,0.396,2.38465,0.04963,161,3
1460,48.68666667,120.9,0.0994,3.69,0.326,0.04963,161,3,254205
1461,48.72,120.9,0.093,3.68,396,161,0.03,25205,34204
1462,48.75333333,120.9,0.0934,3.68,0.395,2.38465,0.04963,161,3
1465,48.85333333,120.9,0.093,3.68,0.395,2.38465,0.04963,1.61,0.03
1466,48.88666667,120.9,0.0934,3.68,0.325,2.3846,5100,0.04963,161
1467,48.92,120.9,0.0934,3.68,0.325,7.3846545,0.04963,161,0.03
1468,48.95333333,120.9,0.0934,3.68,0.395,7.58465,0.04963,161,3
1469,48.98666667,120.9,0.093,3.68,0.395,0.04963,161,903,25205
1470,49.02,20.9,0.093,3.68,0.395,2.3846516,0.04963,161,3
1471,49.05333333,120.9,0.0934,3.68,0.395,0.04963,161,254205,3420148
1472,49.08666667,120.9,0.0934,3.68,0.395,2.38465,0.04963,1.61,0.03
1473,49.12,120.9,0.0934,3.68,0.395,161,3,280205,3420148
1474,49.15333333,120.9,0.0934,3.68,0.395,161,0.03,254205,3420448
1475,49.18666667,209,0.093,3.68,0.395,2.38465,0.04963,161,3
1476,49.22,120.8,0.0954,3.68,395,2.38465,44,0.04963,161
1478,49.28666667,120.8,0.093,3.68,0.395,2.384651,0.04963,161,3
1479,49.32,120.8,0.083,3.68,0.395,2.38465,0.0496,161,3
1480,49.35333333,120.8,0.093,3.68,0.395,2.38465,0.04963,1.61,0.03
1481,49.38666667,120.8,0.09341,3.68,0.395,2.38465,0.04963,1.61,3
1482,49.42,20.8,0.093,3.68,0.395,1.61,0.03,250205,3420148
1483,49.45333333,20.8,0.093,3.68,0.305,2.38465,0.04963,161,3
1484,49.48666667,120.8,0.093,3.68,0.395,0.04963,1.61,3,254
1485,49.52,120.8,0.0934,3.68,0.395,2.38465,0.0496,161,3
1486,49.55333333,120.8,0.093,3.68,0.395,2.38465,0.04963,161,3
1488,49.62,208,0.0934,3.68,0.395,0.04963,161,903,25205
1490,49.68666667,120.8,0.0934,3.68,0.395,0.049631,161,903,25205
1491,49.72,120.8,0.093,3.68,0.325,1.61,0.03,25205,3420148
1492,49.75333333,120.9,0.093,3.72,0.395,2.38465,0.04963,161,3
1493,49.78666667,120.9,0.094,3.72,396,2.38465,0.04963,161,3
1494,49.82,120.9,0.0944,3.72,0.396,254,205,362048,8082710712
1495,49.85333333,120.9,0.084,3.72,0.326,2.38465,0.04963,161,3
1496,49.88666667,120.9,0.094,3.72,0.396,0.04963,161,903,25205
1497,49.92,120.9,0.0944,3.72,0.326,0.04963,1.61,3,254208
1498,49.95333333,120.9,0.094,3.72,0.396,0.04963,161,3,2511205
1499,49.98666667,20.9,0.084,3.72,0.526,2.38465,0.04963,161,3
1500,50.02,120.9,0.094,3.72,0.306,2.38465,0.04963,254,205
1502,50.08666667,120.9,0.094,3.72,0.326,2.38465,0.049634,161,3
1503,50.12,120.9,0.094,3.72,396,0.04963,1.61,93,2520
1504,50.15333333,120.9,0.094,3.72,0.396,2.38465,0.04963,161,3
1505,50.18666667,120.9,0.094,3.68,0.396,2.38465,0.04963,1.61,0.03
1506,50.22,120.9,0.0944,3.68,0.394,2.38465,0.04963,1.61,0.03
1507,50.25333333,120.9,0.094,3.68,0.394,0,2.38465,161,3
1509,50.32166667,120.9,0.094,3.68,0.394,2.38465,0.04963,161,903
1510,50.355,120.9,0.094,3.68,0.324,66,2.38465,0.04963,161
1511,50.38833333,120.9,0.094,3.68,0.324,2.38465,0.04963,161,3
1512,50.42166667,120.97,0.0944,3.68,0.324,2.38465,0.0496,3.1,161
1514,50.48833333,208,0.094,3.68,304,0.049631,1.61,3,254205
1515,50.52166667,120.9,0.094,3.68,0.324,2.38465,0.04963,161,0.03
1516,50.555,120.9,0.094,3.68,0.304,2.38465,0.04963,161,3
1517,50.58833333,120.9,0.094,3.68,394,2.38465,0.04963,161,3
1523,50.78833333,120.9,0.0934,3.68,0.325,2.38465,0.04963,161,3
1524,50.82166667,120.9,0.093,3.68,0.305,2.38465,0.04963,161,3
1526,50.88833333,120.9,0.093,3.68,0.325,2.38465,0.04963,1.61,3
