Frame,Timestamp (s),Voltage (V),Current (A),Power (W),Power Factor (%),Total (kWh),Oneshot (kWh),Total ($),Oneshot ($)
111,3.701666667,120.9,0.0944,3.69,393,2.3846,0,161,0.03
112,3.735,120.9,0.084,3.69,0.395,2.3846,0.04958,1.61,3
115,3.835,120.9,0.094,3.69,0.393,2.3846,0.04958,1.61,3
117,3.901666667,120.9,0.094,3.69,394,38460,0.04958,161,903
118,3.935,120.9,0.094,3.69,0.393,2.384604,0.04958,161,3
119,3.968333333,20.9,0.094,3.69,0.393,2.3846,0.04958,161,3
120,4.001666667,120.9,0.094,3.69,0.393,161,3,25204,2047
121,4.035,120.9,0.094,3.69,323,0.04958,1.61,3,251.2
122,4.068333333,120.9,0.094,3.69,0.323,2.384604,0.0495,254204,3420847
123,4.101666667,120.9,0.0944,3.69,0.393,2.384604,0.04958,161,3
124,4.135,120.9,0.094,3.69,0.393,7384600,0.04958,161,3
125,4.168333333,120.9,0.084,3.68,0.393,2.3846,0.04958,161,3
126,4.201666667,120.8,0.088,3.68,354,60,738460,0.04958,161
127,4.235,5120.9,0.093,3.68,354,0.04958,250,204,3420
129,4.301666667,120.9,0.0934,3.68,0.394,2.384604,0.04958,1.61,0.03
130,4.335,120.9,0.093,3.68,994,2.384604,0.04958,161,3
131,4.368333333,120.9,0.093,3.68,0.324,2.3846,0.04958,161,3
132,4.401666667,120.9,0.089,3.68,0.394,2.3846,0.04958,161,3
133,4.435,120.9,0.093,3.68,0.324,2.384606,0.04958,161,903
134,4.468333333,120.9,0.003,3.68,0.994,2.384604,0.04958,254.204,320447
135,4.501666667,120.9,0.093,3.68,0.394,2.3846,0.04958,1.61,0.03
136,4.535,120.9,0.0934,3.68,0.394,2.3846,0.04958,1.61,3
137,4.568333333,120.51,55,3.68,0.39,2.3846,0.04958,161,903
138,4.601666667,120.9,0.083,3.68,0.394,0.04958,1.61,3,25420
139,4.635,120.9,0.0934,3.68,0.394,2.3846,0.04958,161,3
