Frame,Timestamp (s),Voltage (V),Current (A),Power (W),Power Factor (%),Total (kWh),Oneshot (kWh),Total ($),Oneshot ($),
0,0.0,120.9,0.094,3.68,0.399,2.3846,0.04958,1.61,3.0,
15,0.5,120.8,0.0954,3.77,0.326,2.3846,0.04958,161.0,3.0,
30,1.0,120.9,0.093,3.68,0.324,2.3846,0.04958,1.61,903.0,
45,1.5,12050.0,3.69,0.395,2.384604,0.04958,161.0,3.0,251204.0,
60,2.0,120.9,0.093,3.69,0.305,2.3846,0.04958,161.0,3.0,
75,2.501666666666667,28.0,120.9,0.0944,3.69,0.304,2.3846,0.04958,1.61,
90,3.001666666666667,120.9,0.094,3.69,0.324,2.3846,0.04958,161.0,3.0,
105,3.501666666666667,120.9,0.095,3.72,0.323,2.384604,0.04958,161.0,3.0,
120,4.001666666666667,120.9,0.094,3.69,0.393,2.384604,0.04958,161.0,3.0,
135,4.501666666666667,120.9,0.093,3.68,0.324,2.384606,0.04958,161.0,903.0,
150,5.001666666666667,120.9,0.093,3.68,0.395,2.3846,0.04958,161.0,3.0,
165,5.501666666666667,121.0,0.093,3.69,0.325,2.3846,0.04958,161.0,993.0,
180,6.003333333333334,210.0,0.094,3.74,0.325,7384600.0,0.04958,1.61,0.03,
195,6.503333333333334,121.0,0.0944,3.68,0.399,2.3846,0.04958,1.61,0.03,
210,7.003333333333334,121.0,0.0944,3.69,0.393,60.0,2.38461,161.0,0.03,
225,7.503333333333334,121.0,0.0944,3.68,0.393,2.38461,0.0495,1.61,0.03,
240,8.003333333333334,21.0,0.0934,3.68,0.324,2.38461,0.0495,161.0,903.0,
255,8.503333333333334,121.0,4.0,3.7,0.324,0.04959,1.61,3.0,251204.0,
270,9.003333333333334,0.0954,3.73,0.304,2.3846,1.61,0.03,32047.0,1712.0,
285,9.503333333333334,121.0,0.093,3.68,0.395,2.38461,0.0495,161.0,3.0,
300,10.003333333333334,121.0,0.093,3.68,0.395,2.3846,0.04959,161.0,3.0,
315,10.505,121.0,0.093,3.68,0.396,2.38461,0.0495,161.0,903.0,
330,11.005,121.0,0.0964,3.79,0.303,161.0,3.0,3420847.0,887.0,
345,11.505,0.0964,3.81,2.38461,0.04959,254.0,204.0,3420847.0,208710718.0,
360,12.005,120.9,0.095,3.69,0.324,2.3846,10.0,0.049594,1.61,
375,12.505,121.0,0.094,3.68,0.324,2.3846,0.0495,1.61,903.0,
390,13.005,120.9,0.0944,3.74,396.0,2.3846,0.04959,161.0,903.0,
405,13.505,120.9,0.094,3.7,0.324,0.04959,1.61,0.03,25420.0,
420,14.005,120.9,0.0934,3.69,395.0,2.38462,0.04959,1.61,0.03,
435,14.506666666666668,121.0,0.0944,3.69,0.399,2.384624,0.04959,161.0,903.0,
450,15.006666666666668,121.0,0.094,3.68,0.324,2.38462,0.04959,0.03,250.0,
465,15.506666666666668,121.0,0.094,3.68,0.323,2.3846,2.0,254204.0,3420147.0,
480,16.006666666666668,120.9,0.096,3.84,0.398,2.38462,0.04959,1.61,0.03,
495,16.506666666666668,0.0934,3.68,7384520.0,0.0495,1.61,3.0,342047.0,887.0,
510,17.006666666666668,120.9,0.094,3.72,0.305,86.0,2.3846,0.04959,161.0,
525,17.506666666666668,120.8,0.093,3.68,0.396,2.38462,0.04959,161.0,3.0,
540,18.006666666666668,120.9,0.093,3.68,0.305,0.04959,1.61,0.03,25204.0,
555,18.508333333333333,120.9,0.093,3.68,0.395,2.38462,0.04959,161.0,3.0,
570,19.008333333333333,20.9,0.084,3.68,0.324,2.38462,0.04959,161.0,903.0,
585,19.508333333333333,120.9,0.0934,3.7,0.326,7.38462,0.04959,1.61,0.03,
600,20.008333333333333,121.0,0.094,3.7,0.323,2.38462,0.04959,161.0,3.0,
615,20.508333333333336,121.0,0.093,3.68,0.304,0.0496,161.0,903.0,250.0,
